Date,Open,Adj. High,Adj. Low,Close,Adj. Close,Volume
2006-09-02,8.898991,9.492516,8.844801,72.519997,9.357039,1037610000
2006-09-09,9.345426,9.674446,9.215108,74.099998,9.560901,1390883200
2006-09-16,9.522193,9.813793,9.364778,73.000000,9.418970,924338800
2006-09-23,9.523480,10.035718,9.511868,76.979996,9.932499,975433900
2006-09-30,9.689928,9.826696,9.439614,74.220001,9.576384,870818200
2006-10-07,9.522193,9.919597,9.367359,75.020004,9.679605,704679500
2006-10-14,9.701539,10.320869,9.536386,79.949997,10.315706,1068979100
2006-10-21,10.320869,10.657631,10.289901,80.409996,10.375060,702164400
2006-10-28,10.320869,10.538924,10.037011,78.290001,10.101525,627489100
2006-11-04,10.186681,10.927296,10.119586,83.120003,10.724723,737086000
2006-11-11,10.737626,11.135027,10.662791,85.850006,11.076968,713829200
2006-11-18,11.018907,12.009832,10.993101,91.630005,11.822743,596019900
2006-11-25,11.936288,12.020155,11.547914,91.320000,11.782746,1233414700
2006-12-02,11.855000,11.913061,11.212446,88.259995,11.387924,949916100
2006-12-09,11.470499,11.612429,11.035680,87.720001,11.318247,988930600
2006-12-16,11.306638,11.354376,10.528602,82.199997,10.606019,929394200
2006-12-23,10.599566,11.018907,9.905402,84.839996,10.946650,1155687400
2006-12-30,11.133740,11.171159,10.567309,85.049995,10.973743,730080400
2007-01-06,11.091159,12.618841,10.986649,94.620003,12.208535,2463057100
2007-01-13,12.345303,12.593034,11.369858,88.500000,11.418890,1654853900
2007-01-20,11.501465,11.504045,10.966004,85.379997,11.016323,1370527900
2007-01-27,11.135027,11.180188,10.799560,84.750000,10.935040,905394000
2007-02-03,10.876977,11.162124,10.691176,83.270004,10.744080,1012410700
2007-02-10,10.893750,11.049872,10.790525,84.830002,10.945360,644142100
2007-02-17,10.922136,11.716941,10.858912,89.070000,11.492435,782283600
2007-02-24,11.591785,11.612429,10.709241,85.409996,11.020194,1239166600
2007-03-03,11.082130,11.479531,11.065355,87.970001,11.350504,787804500
2007-03-10,11.363408,11.689846,11.344056,89.590004,11.559527,881272000
2007-03-17,11.643394,12.174990,11.559527,93.519997,12.066603,725287500
2007-03-24,12.127249,12.493683,11.900159,92.909996,11.987895,1016414700
2007-03-31,12.146602,12.287242,12.002092,94.680000,12.216275,479556700
2007-04-07,12.284659,12.296272,11.620173,90.240005,11.643394,672861000
2007-04-14,11.685975,11.909194,11.560820,90.970001,11.737586,693422800
2007-04-21,11.817581,13.225268,11.780163,99.919998,12.892376,1364967100
2007-04-28,12.914313,13.109141,12.715610,100.809998,13.007211,653060800
2007-05-05,13.042048,14.080714,13.033016,108.739998,14.030396,1053566500
